Date,Open,High,Low,Close,Adj Close,Volume
2024-03-27,44.060001,44.810001,44.049999,44.590000,44.472683,22172100
2024-03-28,44.630001,45.540001,44.599998,45.349998,45.230682,14766400
2024-04-01,45.130001,45.730000,44.980000,45.400002,45.280552,11008300
2024-04-02,44.970001,45.259998,44.590000,44.889999,44.771893,13061900
2024-04-03,44.669998,45.419998,44.639999,45.169998,45.051155,14377100
2024-04-04,45.709999,46.040001,43.619999,43.680000,43.565079,16988600
2024-04-05,43.720001,44.310001,43.459999,44.230000,44.113628,11209800
2024-04-08,44.430000,44.849998,44.279999,44.340000,44.223343,8250400
2024-04-09,44.580002,44.869999,44.070000,44.730000,44.612316,8794800
2024-04-10,43.900002,44.549999,43.509998,43.939999,43.824390,11636400
2024-04-11,43.900002,43.990002,43.189999,43.840000,43.724655,19563000
2024-04-12,43.500000,43.580002,42.650002,43.080002,42.966660,11901500
2024-04-15,43.730000,43.980000,42.520000,42.689999,42.577682,13499600
2024-04-16,42.490002,42.919998,42.130001,42.660000,42.547760,12384900
2024-04-17,42.910000,43.160000,42.290001,42.459999,42.348286,10663300
2024-04-18,42.770000,42.840000,42.009998,42.439999,42.328339,14180500
2024-04-19,42.509998,42.959999,42.189999,42.369999,42.258522,15469300
2024-04-22,42.680000,43.560001,42.209999,43.209999,43.096313,21315100
2024-04-23,45.889999,45.959999,44.369999,45.099998,44.981339,28767300
2024-04-24,45.310001,45.310001,44.619999,45.080002,44.961395,15013900
2024-04-25,44.669998,45.849998,44.490002,45.619999,45.499973,14912500
2024-04-26,45.599998,46.169998,45.410000,45.840000,45.719395,12153300
2024-04-29,46.000000,46.150002,45.540001,46.040001,45.918869,10550300
2024-04-30,45.209999,45.419998,44.259998,44.529999,44.412842,15951300
2024-05-01,44.500000,45.200001,44.380001,44.470001,44.353001,13986800
2024-05-02,44.900002,45.150002,44.570000,44.669998,44.552471,13214900
2024-05-03,45.029999,45.549999,44.509998,44.860001,44.741974,10046000
2024-05-06,45.099998,45.540001,44.959999,45.060001,44.941448,10301600
2024-05-07,45.189999,45.840000,45.169998,45.279999,45.160866,9135900
2024-05-08,44.849998,45.400002,44.580002,45.049999,44.931473,7568500
2024-05-09,44.980000,45.660000,44.799999,45.360001,45.240658,9349800
2024-05-10,45.580002,45.630001,45.049999,45.209999,45.091053,7917800
2024-05-13,45.560001,45.980000,45.080002,45.169998,45.051155,13826400
2024-05-14,45.500000,45.790001,44.750000,45.029999,44.911526,10894300
2024-05-15,45.500000,45.639999,45.070000,45.490002,45.370316,11054700
2024-05-16,45.380001,46.099998,45.369999,45.869999,45.749313,11335900
2024-05-17,46.070000,46.080002,45.590000,45.759998,45.639603,11412800
2024-05-20,45.750000,45.910000,45.070000,45.110001,44.991314,9070700
2024-05-21,44.970001,45.180000,44.560001,44.919998,44.801815,9911000
2024-05-22,44.599998,44.639999,43.730000,43.970001,43.854317,11874500
2024-05-23,43.970001,44.060001,43.380001,43.730000,43.614944,10643700
2024-05-24,44.070000,44.320000,43.869999,44.110001,43.993946,7372400
2024-05-28,43.700001,43.770000,42.799999,43.090000,42.976631,13749200
